RB,James Develin,3000,Hou@NE 08:15PM ET,0.3,NE
RB,Jonathan Grimes,3000,Hou@NE 08:15PM ET,3.264,Hou
RB,Brandon Bolden,3000,Hou@NE 08:15PM ET,0.279,NE
RB,Jay Prosch,3000,Hou@NE 08:15PM ET,0.163,Hou
RB,Tyler Ervin,3000,Hou@NE 08:15PM ET,0.238,Hou
RB,Akeem Hunt,3000,Hou@NE 08:15PM ET,1.867,Hou
RB,D.J. Foster,3000,Hou@NE 08:15PM ET,1.2,NE
WR,Matthew Slater,3000,Hou@NE 08:15PM ET,-0.038,NE
WR,Keith Mumphery,3000,Hou@NE 08:15PM ET,1.408,Hou
WR,Wendall Williams,3000,Hou@NE 08:15PM ET,3.833,Hou
RB,Marcel Reece,3000,Sea@Atl 04:35PM ET,3.16,Sea
RB,Patrick DiMarco,3000,Sea@Atl 04:35PM ET,1.138,Atl
RB,Terrence Magee,3000,Sea@Atl 04:35PM ET,0.6,Sea
RB,Terron Ward,3000,Sea@Atl 04:35PM ET,3.44,Atl
RB,J.D. McKissic,3000,Sea@Atl 04:35PM ET,1.9,Sea
WR,Devin Hester,3000,Sea@Atl 04:35PM ET,-0.077,Sea
WR,Eric Weems,3000,Sea@Atl 04:35PM ET,0,Atl
WR,Nick Williams,3000,Sea@Atl 04:35PM ET,5.45,Atl
WR,Justin Hardy,3000,Sea@Atl 04:35PM ET,4.081,Atl
WR,Tanner McEvoy,3000,Sea@Atl 04:35PM ET,2.448,Sea
WR,Kasen Williams,3000,Sea@Atl 04:35PM ET,0,Sea
DST,Seahawks ,3000,Sea@Atl 04:35PM ET,7.588,Sea
RB,Anthony Sherman,3000,Pit@KC 01:05PM ET,0.319,KC
RB,Knile Davis,3000,Pit@KC 01:05PM ET,0.936,KC
RB,Fitzgerald Toussaint,3000,Pit@KC 01:05PM ET,0.712,Pit
RB,Roosevelt Nix,3000,Pit@KC 01:05PM ET,0.227,Pit
RB,Will Ratelle,3000,Pit@KC 01:05PM ET,0,KC
WR,Darrius Heyward-Bey,3000,Pit@KC 01:05PM ET,3.617,Pit
WR,Cobi Hamilton,3000,Pit@KC 01:05PM ET,4.533,Pit
WR,Albert Wilson,3000,Pit@KC 01:05PM ET,5.119,KC
WR,Chris Conley,3000,Pit@KC 01:05PM ET,6.063,KC
WR,Sammie Coates,3000,Pit@KC 01:05PM ET,5.393,Pit
WR,De'Anthony Thomas,3000,Pit@KC 01:05PM ET,1.117,KC
WR,Demarcus Robinson,3000,Pit@KC 01:05PM ET,0,KC
WR,Demarcus Ayers,3000,Pit@KC 01:05PM ET,6.733,Pit
RB,James Starks,3000,GB@Dal 04:40PM ET,6.544,GB
RB,Darren McFadden,3000,GB@Dal 04:40PM ET,4.467,Dal
RB,Alfred Morris,3000,GB@Dal 04:40PM ET,2.886,Dal
RB,Lance Dunbar,3000,GB@Dal 04:40PM ET,2.869,Dal
RB,Keith Smith,3000,GB@Dal 04:40PM ET,0.344,Dal
RB,Joe Kerridge,3000,GB@Dal 04:40PM ET,0,GB
WR,Trevor Davis,3000,GB@Dal 04:40PM ET,0.945,GB
WR,Lucky Whitehead,3000,GB@Dal 04:40PM ET,1,Dal
WR,Jeff Janis,3000,GB@Dal 04:40PM ET,2.124,GB
TE,Austin Hooper,2900,Sea@Atl 04:35PM ET,4.579,Atl
DST,Steelers ,2900,Pit@KC 01:05PM ET,7.118,Pit
TE,Jesse James,2800,Pit@KC 01:05PM ET,5.435,Pit
DST,Packers ,2800,GB@Dal 04:40PM ET,6.471,GB
DST,Cowboys ,2700,GB@Dal 04:40PM ET,5.688,Dal
TE,Ryan Griffin,2600,Hou@NE 08:15PM ET,6.535,Hou
DST,Falcons ,2600,Sea@Atl 04:35PM ET,7.063,Atl
TE,Matt Lengel,2500,Hou@NE 08:15PM ET,1.7,NE
TE,Stephen Anderson,2500,Hou@NE 08:15PM ET,1.879,Hou
TE,Luke Willson,2500,Sea@Atl 04:35PM ET,3.442,Sea
TE,Levine Toilolo,2500,Sea@Atl 04:35PM ET,3.213,Atl
TE,D.J. Tialavea,2500,Sea@Atl 04:35PM ET,3.55,Atl
TE,Brandon Williams,2500,Sea@Atl 04:35PM ET,0.329,Sea
TE,Tyler Ott,2500,Sea@Atl 04:35PM ET,0,Sea
TE,Nick Vannett,2500,Sea@Atl 04:35PM ET,0.689,Sea
TE,Joshua Perkins,2500,Sea@Atl 04:35PM ET,1.65,Atl
TE,David Johnson,2500,Pit@KC 01:05PM ET,1,Pit
TE,James Winchester,2500,Pit@KC 01:05PM ET,0,KC
TE,James O'Shaughnessy,2500,Pit@KC 01:05PM ET,0.119,KC
TE,Xavier Grimble,2500,Pit@KC 01:05PM ET,2.486,Pit
TE,Ross Travis,2500,Pit@KC 01:05PM ET,0.75,KC
TE,Demetrius Harris,2500,Pit@KC 01:05PM ET,2.331,KC
TE,Gavin Escobar,2500,GB@Dal 04:40PM ET,0.813,Dal
TE,Richard Rodgers,2500,GB@Dal 04:40PM ET,4.065,GB
DST,Texans ,2300,Hou@NE 08:15PM ET,6.176,Hou
